Class,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Pleural Effusion,0.7425,0.8012422360248447,0.645,0.7146814404432132,0.83535
Support Devices,0.6375,0.6797385620915033,0.52,0.5892351274787535,0.6643249999999999
