pid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1500,0.0001242576981894672,0.0002966944011859596,0.0005015194183215499,0.0007659589755348861,0.0010947497794404626,0.001461169682443142,0.0018965251510962844,0.002389452187344432,0.0029493027832359076,0.003580385120585561,0.004297565668821335,0.005117644555866718,0.006098227575421333,0.007090138271450996,0.008158662356436253,0.009354706853628159,0.010588758625090122,0.011895007453858852,0.013375900685787201,0.01475108414888382,0.016420692205429077,0.018171798437833786,0.020163221284747124,0.022291159257292747,0.024563461542129517,0.027020905166864395,0.029703043401241302,0.03242224082350731,0.03498461842536926,0.037833940237760544,0.04098714515566826,0.04444783553481102,0.04786038026213646,0.051532771438360214,0.055467426776885986,0.06010599434375763,0.06498046219348907,0.07045808434486389,0.07651227712631226,0.08339302241802216,0.09094732254743576,0.09998194873332977,0.11010812222957611,0.12003985047340393,0.13086137175559998,0.14039838314056396,0.14888189733028412,0.15851840376853943,0.17294788360595703
1501,0.00015855277888476849,0.00039100460708141327,0.0006858431152068079,0.0010549904545769095,0.001508565153926611,0.0019906472880393267,0.0025956477038562298,0.003246397478505969,0.003969200886785984,0.004845434334129095,0.005833373870700598,0.006951199844479561,0.008189961314201355,0.009531657211482525,0.011034108698368073,0.01273181289434433,0.01462938915938139,0.01683756150305271,0.01918121799826622,0.021632110700011253,0.024632731452584267,0.02779165282845497,0.03131837397813797,0.03479801490902901,0.03824811428785324,0.04203265905380249,0.04601214826107025,0.05041155219078064,0.0548597127199173,0.05985095351934433,0.06495517492294312,0.07027897983789444,0.07583563774824142,0.08142611384391785,0.08701824396848679,0.09265828132629395,0.09867984056472778,0.1051531657576561,0.11189606785774231,0.11895714700222015,0.1252121478319168,0.1310449093580246,0.13644397258758545,0.14297357201576233,0.14919723570346832,0.1554337739944458,0.16144150495529175,0.169042706489563,0.17936761677265167
1502,0.00011050280591007322,0.0002703707432374358,0.00046582103823311627,0.000734708970412612,0.0010568528668954968,0.0014448696747422218,0.0019020126201212406,0.002371524227783084,0.0028914264403283596,0.0034663178957998753,0.004129070322960615,0.004894123412668705,0.005647551268339157,0.00649290019646287,0.00741138681769371,0.008344603702425957,0.009479491971433163,0.010573129169642925,0.01185055822134018,0.013178306631743908,0.014663171954452991,0.016162414103746414,0.017659001052379608,0.019197378307580948,0.02063947543501854,0.02236868441104889,0.02414005994796753,0.026137463748455048,0.02805870771408081,0.03014054335653782,0.03231018781661987,0.03473580628633499,0.03709869831800461,0.03997400030493736,0.043040573596954346,0.046064116060733795,0.04919891804456711,0.05197262763977051,0.05491907149553299,0.05776455998420715,0.06045064330101013,0.06285843998193741,0.06508573889732361,0.06719221919775009,0.06934250891208649,0.07124823331832886,0.07309997081756592,0.0745815560221672,0.07566151767969131
1503,0.0001320348383160308,0.0003429105272516608,0.0006059156148694456,0.0009473333484493196,0.0013336257543414831,0.0018024164019152522,0.0023080045357346535,0.0029119730461388826,0.0035730621311813593,0.004303040914237499,0.005107820499688387,0.0060730124823749065,0.0072510200552642345,0.00864243134856224,0.010171494446694851,0.0120418481528759,0.01403002254664898,0.016221703961491585,0.01837322860956192,0.020846817642450333,0.02353023737668991,0.026399798691272736,0.029412657022476196,0.032605044543743134,0.03580404818058014,0.039062388241291046,0.042316317558288574,0.04563828557729721,0.04884811490774155,0.05219653248786926,0.055538058280944824,0.05916905775666237,0.06275130063295364,0.06644800305366516,0.07046233117580414,0.07470278441905975,0.07900406420230865,0.08347751200199127,0.08820953965187073,0.09361942112445831,0.0996428057551384,0.10642934590578079,0.11333607882261276,0.12086503207683563,0.128400519490242,0.13611602783203125,0.14329169690608978,0.15095005929470062,0.15788692235946655
1504,0.0001306489430135116,0.00031910784309729934,0.000543910835403949,0.0008354802848771214,0.001193483592942357,0.0015993143897503614,0.0020615283865481615,0.0025358954444527626,0.003107484895735979,0.0036390547174960375,0.004250914789736271,0.004910620860755444,0.005638227332383394,0.0064325714483857155,0.007358024828135967,0.008373809978365898,0.009452411904931068,0.010645206086337566,0.012019324116408825,0.013397644273936749,0.014986991882324219,0.016657434403896332,0.0184540506452322,0.020562179386615753,0.02299613133072853,0.025784354656934738,0.02883806824684143,0.032127782702445984,0.03571278601884842,0.03922707214951515,0.04277936741709709,0.047008637338876724,0.05138622596859932,0.05587124079465866,0.0605630949139595,0.06545781344175339,0.07029767334461212,0.0757179781794548,0.08127427101135254,0.08753182739019394,0.09401825070381165,0.10147221386432648,0.1101025640964508,0.12008614838123322,0.1306598037481308,0.1424349695444107,0.15466177463531494,0.16831716895103455,0.1833612620830536
1505,0.00014957215171307325,0.00036561820888891816,0.0006490253144875169,0.0010114260949194431,0.0014184755273163319,0.0019018277525901794,0.002464193617925048,0.003081850241869688,0.0037543356884270906,0.004502984695136547,0.005314236506819725,0.006186242680996656,0.007198935840278864,0.008302857168018818,0.009499630890786648,0.010693764314055443,0.012040841393172741,0.013397353701293468,0.014873374253511429,0.01634986698627472,0.01810784637928009,0.01990630105137825,0.021739188581705093,0.023733098059892654,0.02584858052432537,0.028094112873077393,0.03051391988992691,0.03313563019037247,0.03586384281516075,0.03894298896193504,0.04217586666345596,0.045539237558841705,0.04968841373920441,0.054085396230220795,0.0589248389005661,0.06386293470859528,0.06918761134147644,0.07501590996980667,0.08120580017566681,0.0881320983171463,0.09555695205926895,0.10359346866607666,0.11220526695251465,0.12107689678668976,0.13006454706192017,0.13937979936599731,0.1491185873746872,0.15846368670463562,0.16834285855293274
1506,0.00013798123109154403,0.00032163315336219966,0.000565356167498976,0.0008381212246604264,0.00117306609172374,0.0015842037973925471,0.002016933634877205,0.002493267646059394,0.003069627098739147,0.003684139344841242,0.0043446943163871765,0.005089763551950455,0.005878042429685593,0.006709481123834848,0.007573356386274099,0.008584851399064064,0.009669019840657711,0.010765837505459785,0.012067552655935287,0.013416931964457035,0.014817431569099426,0.016415143385529518,0.01816542074084282,0.0202065110206604,0.02243974432349205,0.025050316005945206,0.02784351445734501,0.03082231432199478,0.03457994386553764,0.038395438343286514,0.04266229271888733,0.04729003459215164,0.05247681215405464,0.05814950540661812,0.06467539817094803,0.07165512442588806,0.07891680300235748,0.08664948493242264,0.0949154645204544,0.10392668098211288,0.1137399822473526,0.12485761195421219,0.13557450473308563,0.14636801183223724,0.1570388376712799,0.16761238873004913,0.17630410194396973,0.18317411839962006,0.19204670190811157
1507,0.0001668179756961763,0.0004011857381556183,0.000691012479364872,0.0010893448488786817,0.001493745599873364,0.002013035351410508,0.0025563561357557774,0.003182303626090288,0.0038260086439549923,0.004597288090735674,0.005441146437078714,0.006330536212772131,0.007240140810608864,0.00830208882689476,0.009450815618038177,0.01075828354805708,0.012055974453687668,0.013459589332342148,0.014899848029017448,0.01654602773487568,0.018268384039402008,0.020106513053178787,0.022065073251724243,0.02430887334048748,0.026708658784627914,0.028923068195581436,0.031248461455106735,0.03373907506465912,0.03629299998283386,0.039186928421258926,0.0420696884393692,0.04563017189502716,0.0491439551115036,0.05267775058746338,0.05707267299294472,0.061759233474731445,0.06686132401227951,0.07200364768505096,0.07817403227090836,0.085204117000103,0.09220986068248749,0.09929477423429489,0.10617666691541672,0.11360299587249756,0.12072993814945221,0.1286626160144806,0.1357758790254593,0.1431177407503128,0.15040351450443268
1508,0.00013701865100301802,0.000336024328134954,0.0005716459127143025,0.0008928509196266532,0.001227888511493802,0.0016551135340705514,0.0021260338835418224,0.0026266402564942837,0.003175269113853574,0.0037957646418362856,0.004464554600417614,0.005240581929683685,0.005932120606303215,0.006744525395333767,0.007708420045673847,0.00876842811703682,0.009887591935694218,0.011414018459618092,0.013112496584653854,0.015053171664476395,0.017514530569314957,0.02017062157392502,0.02326490730047226,0.02692369744181633,0.031125063076615334,0.03602060675621033,0.04153657332062721,0.04746897891163826,0.053765568882226944,0.060728952288627625,0.06830897182226181,0.076361283659935,0.08443154394626617,0.0930229127407074,0.10148847103118896,0.11001145094633102,0.11867116391658783,0.1274142861366272,0.1366911232471466,0.14567887783050537,0.15482059121131897,0.16394676268100739,0.1737082600593567,0.18216077983379364,0.19017446041107178,0.1975523978471756,0.20522335171699524,0.21237815916538239,0.22124473750591278
1509,0.00014596334949601442,0.0003688829892780632,0.0006235386244952679,0.0009567420929670334,0.0013433446874842048,0.0017957728123292327,0.0022723327856510878,0.002812560647726059,0.003426083829253912,0.004071004688739777,0.004792308900505304,0.0055586472153663635,0.006457348354160786,0.0073089804500341415,0.008328812196850777,0.009516270831227303,0.010791530832648277,0.012158277444541454,0.013739396817982197,0.015495420433580875,0.01752661168575287,0.019803201779723167,0.02213941514492035,0.024769475683569908,0.027442730963230133,0.030620329082012177,0.034289710223674774,0.038238026201725006,0.04258099943399429,0.04699236899614334,0.05180821195244789,0.0568745881319046,0.06222156435251236,0.06767309457063675,0.07361757755279541,0.07977750152349472,0.08664500713348389,0.0935187116265297,0.10093942284584045,0.10873336344957352,0.11656218767166138,0.12451578676700592,0.13327279686927795,0.14358055591583252,0.1548483669757843,0.167265385389328,0.18133029341697693,0.19517211616039276,0.21025606989860535
