pid,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49
4250,0.0002330282295588,0.0004667216562665,0.000774091342464,0.0011382921366021,0.0015560030005872,0.0020797012839466,0.0027336040511727,0.0034250812605023,0.0042988187633454,0.0051816976629197,0.0063058165833354,0.0075663183815777,0.0090241907164454,0.0105930780991911,0.0123610571026802,0.0146053172647953,0.0168463885784149,0.0195346362888813,0.0223683007061481,0.0256173703819513,0.029094023630023,0.0326785072684288,0.0365397073328495,0.0406048782169818,0.0453426502645015,0.0502776354551315,0.055605761706829,0.0614614635705947,0.0670657381415367,0.0727593526244163,0.0786633864045143,0.0838933810591697,0.089619442820549,0.0947253704071044,0.0995964705944061,0.1043136566877365,0.1088718920946121,0.1137440353631973,0.1183761209249496,0.1231599301099777,0.1282604187726974,0.1324369758367538,0.1368922889232635,0.1407443881034851,0.1454999148845672,0.1504732966423034,0.156031534075737,0.163372665643692,0.1731459200382232
4251,0.0001287394843529,0.0002544651506468,0.0004132245667278,0.0005257601733319,0.0006880364962853,0.0008806539117358,0.0010902916546911,0.0013228565221652,0.0015606039669364,0.0018988507799804,0.0022002190817147,0.002603834727779,0.003130679950118,0.0036746924743056,0.004289255477488,0.0050654336810112,0.0058922325260937,0.0068295039236545,0.007876168936491,0.0090245641767978,0.0101956725120544,0.0113955438137054,0.0127421617507934,0.0141919087618589,0.0156496167182922,0.0174855701625347,0.0194117799401283,0.0213355161249637,0.0234617162495851,0.0256346147507429,0.027788296341896,0.0297769419848918,0.0319387763738632,0.0339518375694751,0.0358658730983734,0.0378440208733081,0.0396458841860294,0.0415733382105827,0.0433433204889297,0.0451922342181205,0.0466741099953651,0.0482619479298591,0.0499626137316226,0.0515365153551101,0.053406286984682,0.0552183799445629,0.0571764558553695,0.0594823956489563,0.062112133949995
4252,0.0001256453542737,0.0002638062869664,0.0004062306834384,0.0005629721563309,0.0007740675937384,0.0010041689965873,0.0012705374974757,0.0015912880189716,0.0019193694461137,0.0023583159781992,0.0028405396733433,0.0033349378500133,0.0039114337414503,0.0046971375122666,0.0055030053481459,0.0064593772403895,0.0076260985806584,0.0088551081717014,0.0100613655522465,0.0115871457383036,0.0131374727934598,0.0149071672931313,0.0165563970804214,0.0184017978608608,0.0202549807727336,0.0222746971994638,0.0244206860661506,0.0265340488404035,0.0286389105021953,0.030660418793559,0.0327301025390625,0.0351467207074165,0.0374821610748767,0.0400896705687046,0.0427142642438411,0.0454858131706714,0.0488837324082851,0.0522496327757835,0.0559149906039238,0.0597800277173519,0.0635887905955314,0.0676035061478614,0.0710979923605918,0.0742658004164695,0.0772796273231506,0.0798782557249069,0.0825702548027038,0.0849568545818328,0.0867394879460334
4253,0.0001564239209983,0.0003341491101309,0.0004985384293831,0.0007218142854981,0.0009840696584433,0.0012628636322915,0.0015875513199716,0.0019707798492163,0.0024137459695339,0.0029622325673699,0.0035895206965506,0.0044103083200752,0.0051909871399402,0.0059865517541766,0.0069423960521817,0.0079390341416001,0.0088762221857905,0.0098817385733127,0.0110479928553104,0.0121206436306238,0.0134196290746331,0.014655009843409,0.0158584639430046,0.0171414576470851,0.0183731876313686,0.0194805078208446,0.0206527113914489,0.0217122621834278,0.022965969517827,0.0240980498492717,0.0249265171587467,0.0258147232234478,0.0268019307404756,0.0279997307807207,0.0289098676294088,0.0298964232206344,0.0307855680584907,0.0316653326153755,0.0326138734817504,0.0334952436387538,0.0343530178070068,0.035669732838869,0.0368320569396019,0.0380351655185222,0.0396563373506069,0.0412645675241947,0.0427265428006649,0.044587854295969,0.0466361716389656
4254,0.0002472791820764,0.0004950700094923,0.0008048589224927,0.0012287683784961,0.0018058903515338,0.0024895681999623,0.0033647937234491,0.0043082409538328,0.005462996661663,0.0067017786204814,0.0078515671193599,0.0090003851801157,0.0104669332504272,0.0119996462017297,0.0134260142222046,0.014761758968234,0.0163249727338552,0.0180321186780929,0.0195132195949554,0.0213458836078643,0.0231591463088989,0.0252824798226356,0.02726143412292,0.0295640043914318,0.0318885631859302,0.0344197750091552,0.0376675799489021,0.040620069950819,0.0439844131469726,0.0480996295809745,0.0520072914659976,0.0568250268697738,0.0620945207774639,0.0684031099081039,0.0745365545153617,0.0818360894918441,0.0893655940890312,0.0978586971759796,0.1069025844335556,0.1162747517228126,0.1264176070690155,0.1384620666503906,0.150676742196083,0.1639186143875122,0.1789795756340026,0.1960562020540237,0.2161404192447662,0.2389443814754486,0.2640779912471771
4255,0.000210351368878,0.0004678283003158,0.0007382039329968,0.0010758863063529,0.0014431060990318,0.001979014603421,0.0025651943869888,0.0032886008266359,0.0040868739597499,0.0050418591126799,0.0060459426604211,0.0071776174008846,0.0084622967988252,0.0099296942353248,0.0115614617243409,0.0134254265576601,0.0153847262263298,0.0175217576324939,0.0197334066033363,0.022306265309453,0.0250669009983539,0.0278941094875335,0.0308040380477905,0.0340600684285163,0.0375376492738723,0.0410109087824821,0.0450667403638362,0.0489157065749168,0.0528335385024547,0.0575602650642395,0.0625313073396682,0.068220816552639,0.0733499377965927,0.079993262887001,0.0869366228580474,0.094490922987461,0.1028805300593376,0.1110326424241066,0.1207178682088851,0.1310402303934097,0.1428324580192566,0.1561513245105743,0.171136125922203,0.189815267920494,0.2138048112392425,0.2481086105108261,0.292214959859848,0.3437399268150329,0.3998681902885437
4256,0.0001078801360563,0.0002005024289246,0.0002961067657452,0.0003955797001253,0.0005005615530535,0.0006235369946807,0.0007778796134516,0.0009310657624155,0.0010909319389611,0.0012907268246635,0.0014625440817326,0.0016331078950315,0.0018243805970996,0.0020697475410997,0.0023758853785693,0.0026665653567761,0.0029198022093623,0.0033163460902869,0.0037096643354743,0.0040800990536808,0.0044810282997787,0.0049551161937415,0.0054286941885948,0.005929535254836,0.0064049614593386,0.0069893477484583,0.0076889963820576,0.0081449393182992,0.0086519513279199,0.0092365583404898,0.0099905487149953,0.0106894206255674,0.0113563267514109,0.0118603184819221,0.0126208858564496,0.013154936954379,0.0137390783056616,0.0143848098814487,0.0150711052119731,0.0158242564648389,0.0163754895329475,0.0169113185256719,0.01747278124094,0.0181834213435649,0.0187658835202455,0.0196096077561378,0.0198634043335914,0.0207880027592182,0.0215124804526567
4257,0.0001546219573356,0.0003217064077034,0.0004917631740681,0.0006921385065652,0.0009567332454025,0.0012702646199613,0.0015661437064409,0.0019327122718095,0.0023781419731676,0.002873898949474,0.0034755656961351,0.0041923141106963,0.005175239406526,0.0062370323576033,0.0076416190713644,0.009282624348998,0.0110486112534999,0.0131740607321262,0.0153698790818452,0.0178916379809379,0.0205612648278474,0.0231268517673015,0.0259056314826011,0.028748583048582,0.0318695716559886,0.0346802063286304,0.0379091426730155,0.0409037508070468,0.0440485402941703,0.0471656881272792,0.0499898046255111,0.0530402734875679,0.0563318207859993,0.0594385489821434,0.0628445371985435,0.0665422230958938,0.0703910067677497,0.0745213031768798,0.0792023241519928,0.0837521329522132,0.0891247689723968,0.0948635935783386,0.1008041352033615,0.1076269447803497,0.1144286319613456,0.121843934059143,0.1294932514429092,0.1387194693088531,0.14920274913311
4258,0.0001969186560017,0.000412610679632,0.0006881250301375,0.0010302204173058,0.0014606200857087,0.0020276089198887,0.0026433980092406,0.0033613736741244,0.0041457689367234,0.0051182410679757,0.0061458200216293,0.0074222795665264,0.008743941783905,0.0101797860115766,0.0116994576528668,0.0132950283586978,0.0151397595182061,0.017008151859045,0.0190384592860937,0.0212013348937034,0.0236705243587493,0.0260366629809141,0.0290170386433601,0.0322267785668373,0.0357000306248664,0.0389395914971828,0.0424239784479141,0.046103149652481,0.0495434179902076,0.0531609617173671,0.0569896064698696,0.0609377995133399,0.0649360418319702,0.0693666785955429,0.0742793828248977,0.0791279450058937,0.0850276872515678,0.0920302420854568,0.1004380658268928,0.1114500015974044,0.125327318906784,0.1438324153423309,0.1714202761650085,0.2101659029722213,0.2610845863819122,0.3263867497444153,0.4023187160491943,0.4871778786182403,0.567171573638916
4259,0.0001313048705924,0.000286102265818,0.0004788626683875,0.0007331689703278,0.0010710216592997,0.0014241780154407,0.0018838071264326,0.0023319977335631,0.0028176135383546,0.0034345886670053,0.0040482776239514,0.0048233098350465,0.0056054308079183,0.0065155695192515,0.0075513087213039,0.0087323952466249,0.0099523533135652,0.0112555446103215,0.0127238016575574,0.0142494570463895,0.0158702079206705,0.0177082233130931,0.0196307655423879,0.0216202326118946,0.0235609970986843,0.0256699789315462,0.0276409611105918,0.0298629906028509,0.0320997014641761,0.0345530360937118,0.0370134264230728,0.0396379604935646,0.0425668023526668,0.0459735095500946,0.0495841614902019,0.0543256103992462,0.0595121495425701,0.0661813020706176,0.0740941241383552,0.0838550478219986,0.096146211028099,0.1110925525426864,0.1300730407238006,0.1528462916612625,0.1816818714141845,0.2172154635190963,0.2643050849437713,0.3240054249763489,0.395916998386383
