pid,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49
4500,0.0001994557242142,0.0004263002774678,0.0006768055609427,0.0010107941925525,0.0014358531916514,0.0019196588546037,0.00252316147089,0.0032785506919026,0.0041794776916503,0.0052015068940818,0.0065110912546515,0.0079768020659685,0.0096981208771467,0.0117521453648805,0.014444563537836,0.017284644767642,0.0203368719667196,0.0237991940230131,0.0271563380956649,0.0310276728123426,0.0348784886300563,0.0386589542031288,0.0424847900867462,0.0461548566818237,0.0498632304370403,0.0535081215202808,0.0573517754673957,0.0613667666912078,0.0652723237872123,0.0694475322961807,0.073663517832756,0.0780214890837669,0.0822462886571884,0.0864838734269142,0.091031789779663,0.0955176800489425,0.100142627954483,0.1043800339102745,0.1084320694208145,0.1129917353391647,0.118514098227024,0.1246320530772209,0.1310053467750549,0.1383865773677826,0.1461376547813415,0.1566935181617736,0.1681167185306549,0.1816086620092392,0.1971611082553863
4501,0.000163133139722,0.0003761108382605,0.0006400721613317,0.0009556392906233,0.0014068459859117,0.0019229855388402,0.0027157899457961,0.0036745690740644,0.0047977352514863,0.0062088910490274,0.0080241644755005,0.0097552519291639,0.0120276818051934,0.0145917907357215,0.0173461120575666,0.0203263778239488,0.0233694575726985,0.0266400948166847,0.0300403796136379,0.0336853936314582,0.0375768616795539,0.0411612391471862,0.0453737452626228,0.0492875576019287,0.0533214062452316,0.0575811974704265,0.0618275813758373,0.0660646557807922,0.0701763033866882,0.0746320784091949,0.0788488760590553,0.0831562057137489,0.0873758196830749,0.0921836793422699,0.0968285426497459,0.1020136177539825,0.1077261343598365,0.1138774752616882,0.1207352578639984,0.1281837522983551,0.1360434293746948,0.145124465227127,0.1555875241756439,0.1661499738693237,0.1776868402957916,0.1899604499340057,0.2038683742284774,0.2188327610492706,0.2364788651466369
4502,0.0002494013751856,0.0005404631374403,0.0009310015011578,0.0013176759239286,0.0019297376275062,0.0026197431143373,0.0035583199933171,0.0046622678637504,0.0058816107921302,0.0073369005694985,0.0089868288487195,0.0111121870577335,0.0133196515962481,0.0158648677170276,0.0187184680253267,0.0219684783369302,0.0255377441644668,0.0291965343058109,0.0330300629138946,0.0374788418412208,0.0417919903993606,0.0463739857077598,0.0511688627302646,0.0557812824845314,0.0610519610345363,0.0660101547837257,0.0716471225023269,0.0768383219838142,0.0820453912019729,0.0873952060937881,0.0927115380764007,0.0979230403900146,0.1025226712226867,0.1073554307222366,0.111856922507286,0.1163816004991531,0.1207601428031921,0.1251509487628936,0.1293690800666809,0.1334888786077499,0.1379386037588119,0.1425748467445373,0.1474831700325012,0.1535536497831344,0.1607091873884201,0.1688601225614547,0.1791379153728485,0.191005066037178,0.2049452811479568
4503,0.0002661281323526,0.0006008086493238,0.000956168572884,0.0013898387551307,0.0019122008234262,0.0025586085394024,0.0034095167648047,0.0043030958622694,0.0054346695542335,0.0068185240961611,0.0084418877959251,0.010333327576518,0.0122286407276988,0.0146172810345888,0.0173748861998319,0.0206341501325368,0.0241850279271602,0.0285885632038116,0.0333976671099662,0.0384732782840728,0.0432526655495166,0.0480922386050224,0.0531758852303028,0.0580448731780052,0.0628968179225921,0.0677815228700637,0.0722709968686103,0.0767200589179992,0.0813818350434303,0.0861060619354248,0.0907505005598068,0.0950727015733718,0.0994371622800827,0.1036489158868789,0.107731744647026,0.1114795878529548,0.1149272248148918,0.1179643124341964,0.1204519644379615,0.1225952953100204,0.1248868778347969,0.1272170096635818,0.1293780952692031,0.1315365135669708,0.1339048594236374,0.1366184800863266,0.1390999257564544,0.141322910785675,0.1436458975076675
4504,0.0003496777499094,0.0007485644309781,0.0011070143664255,0.0016239999094977,0.0021117613650858,0.0029199935961514,0.0037737989332526,0.004760269075632,0.0058983671478927,0.0074482755735516,0.0094388741999864,0.0114590115845203,0.0140577759593725,0.0167668480426073,0.0196265149861574,0.0224304664880037,0.0261083990335464,0.0298176668584346,0.0336986519396305,0.0384710133075714,0.0434843525290489,0.0491803810000419,0.055195465683937,0.0618500187993049,0.0692407339811325,0.0759937763214111,0.0838655084371566,0.0912286937236785,0.0995825454592704,0.1072192043066024,0.1152611821889877,0.1234611868858337,0.1318894475698471,0.1398923397064209,0.1475095599889755,0.1551311612129211,0.1624022126197815,0.1677519679069519,0.1741588115692138,0.1792746633291244,0.1845116317272186,0.1890807747840881,0.1943047940731048,0.2003677487373352,0.2078886926174163,0.2175345420837402,0.2315783202648162,0.2513725459575653,0.2772367596626282
4505,0.0002615865960251,0.0005151215591467,0.0008470168104395,0.0013011313276365,0.0019753477536141,0.002776855835691,0.0037774923257529,0.0050214445218443,0.0064103221520781,0.0080997413024306,0.0100788390263915,0.0125797213986516,0.015165127813816,0.0181022025644779,0.0210005845874547,0.0241476036608219,0.027250699698925,0.0303164571523666,0.0332899130880832,0.0363452136516571,0.0396027565002441,0.0425932519137859,0.0457344241440296,0.0487505383789539,0.0522658750414848,0.055585853755474,0.0592504739761352,0.0630451291799545,0.0671029165387153,0.0710698142647743,0.0746851414442062,0.0788906216621398,0.0824244692921638,0.0865869969129562,0.0912558585405349,0.0953954234719276,0.0993729308247566,0.1029094234108924,0.1056947782635688,0.1083464846014976,0.1107719987630844,0.1126668751239776,0.114505186676979,0.1163358464837074,0.1183091849088668,0.1202634125947952,0.122915580868721,0.1249063834547996,0.1292069852352142
4506,0.0001964138646144,0.0004804018535651,0.0008779859635978,0.0014247667277231,0.002148845931515,0.0030436692759394,0.004226962570101,0.005500653758645,0.0071753766387701,0.0092825461179018,0.0114420745521783,0.0139474151656031,0.0168597418814897,0.0200362130999565,0.0235506072640419,0.0275179557502269,0.0318794175982475,0.0367898531258106,0.0421188548207283,0.0476426258683204,0.0532542392611503,0.0595897361636161,0.066560573875904,0.0735251158475875,0.0805274099111557,0.0875277891755104,0.0941927582025528,0.101134069263935,0.1074624508619308,0.1140878647565841,0.1204089373350143,0.1269611120223999,0.1335014849901199,0.1408562362194061,0.1483974158763885,0.1564698964357376,0.1650264710187912,0.174276053905487,0.1837753504514694,0.1936655938625335,0.2044688314199447,0.2167806327342987,0.2306494116783142,0.2451789081096649,0.2605911493301391,0.278205394744873,0.2969391047954559,0.3177556991577148,0.3381549715995788
4507,0.0002540191053412,0.0005489869508892,0.0008945039007812,0.0013899174518883,0.0019629281014204,0.0027287821285426,0.0035672895610332,0.0047295489348471,0.0062719932757318,0.0081949364393949,0.0101761035621166,0.0126970838755369,0.0156009271740913,0.0187485255300998,0.0221958626061677,0.0258353091776371,0.0298068597912788,0.0338828302919864,0.0382819548249244,0.0431990437209606,0.0480856150388717,0.0529424883425235,0.0585325807332992,0.0634228885173797,0.0688776820898056,0.0744291096925735,0.0799481943249702,0.0852402448654174,0.0909557491540908,0.0973551720380783,0.1035197377204895,0.1093281432986259,0.1159291192889213,0.1224038153886795,0.1289306133985519,0.1356048732995987,0.1431578695774078,0.150594487786293,0.1585676521062851,0.1664086431264877,0.1745432913303375,0.1827962696552276,0.1915816366672516,0.2003540098667144,0.2093771547079086,0.2175735980272293,0.2257006466388702,0.2338387668132782,0.2421007305383682
4508,0.0001808633096516,0.0004527503624558,0.000858616316691,0.0014229447115212,0.002146917860955,0.0032073566690087,0.0045293713919818,0.0061334744095802,0.0080703496932983,0.0105247441679239,0.0130772534757852,0.0161544643342494,0.0195963084697723,0.0233753360807895,0.0275737009942531,0.0319815203547477,0.0365336537361145,0.0419671833515167,0.0473226159811019,0.0529931932687759,0.0586338378489017,0.064492642879486,0.0708073899149894,0.0767060965299606,0.0828445106744766,0.0890343859791755,0.0950669050216674,0.1012807711958885,0.107238233089447,0.1137318089604377,0.1201907619833946,0.1267229169607162,0.1334802210330963,0.1408387571573257,0.1476587355136871,0.154714435338974,0.1615442931652069,0.1674536019563675,0.1737792491912841,0.1804900467395782,0.1869257986545562,0.1937910169363021,0.1996603608131408,0.2053245604038238,0.2110489457845688,0.2169142961502075,0.2234253138303756,0.2308961749076843,0.2394192516803741
4509,0.0001976290805032,0.0004314046527724,0.0007348229992203,0.0011493780184537,0.001746037043631,0.0025510394480079,0.0035891560837626,0.004965353757143,0.0065799187868833,0.0089609399437904,0.0114433001726865,0.0143776163458824,0.0175066664814949,0.0213436968624591,0.0252573378384113,0.0295592211186885,0.034194603562355,0.0391690842807292,0.0440208427608013,0.0489419661462307,0.0539567582309246,0.0590429753065109,0.0641947463154792,0.0692236050963401,0.0741730630397796,0.0788223296403884,0.0836791172623634,0.0878826677799224,0.0923078432679176,0.0966484546661377,0.1007326692342758,0.1046498715877533,0.1088823974132537,0.1130442470312118,0.1169734597206115,0.1207047924399375,0.1242056563496589,0.1282956451177597,0.1320286840200424,0.1356217265129089,0.1396266520023346,0.1432890892028808,0.1472340822219848,0.1512075215578079,0.1552740931510925,0.1602482497692108,0.165084570646286,0.1697078794240951,0.1752107292413711
